problem_class,problem_score
hard,9.7
hard,9.7
hard,9.6
hard,9.6
hard,9.6
hard,9.6
hard,9.6
hard,9.5
hard,9.5
hard,9.5
hard,9.5
hard,9.5
hard,9.5
hard,9.5
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.4
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.3
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.2
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.1
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,9.0
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.9
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.8
hard,8.7
hard,8.7
hard,8.7
hard,8.7
hard,8.7
hard,8.7
hard,8.7
hard,8.7
hard,8.7
